SEASON_YEAR,POSTAL_CODE,PRODUCT_TYPE,TOTAL_SEATS,TOTAL_ACCOUNTS
2025,60655,Group,345,61
2026,60102,Full Season,345,4
2026,60634,Group,342,51
2026,60068,Group,342,37
2026,60517,Single Game,341,94
2026,60154,Full Season,341,3
2027,60035,Half Season,340,7
2026,60048-3358,Full Season,340,1
2027,60453,Half Season,340,6
2027,60563,Half Season,340,5
2025,60563,Half Season,340,5
2026,60641,Group,339,35
2026,60439,Single Game,339,96
2026,60638,Half Season,339,8
2026,60067,Single Game,338,109
2026,60010,Group,338,32
2025,60462,Half Season,338,6
2026,60154,Group,338,12
2025,60305,Half Season,338,7
2026,60143,Full Season,336,3
2025,60025,Group,336,64
2026,60423,Single Game,335,98
2026,60707,Full Season,335,4
2026,60506,Full Season,335,3
2026,60914,Full Season,334,2
2026,60510,Single Game,334,85
2026,60638,Group,334,48
2026,60081,Full Season,334,3
2025,60614,Pick Em Plan,333,20
2026,60487-6214,Full Season,333,1
2026,60047,Pick Em Plan,333,16
2025,60630,Half Season,333,7
2026,60130,Half Season,333,6
2025,60173-5408,Full Season,332,1
2026,60608,Group,332,51
2025,60611-1542,Full Season,332,1
2025,60173,Half Season,332,6
2026,60641,Single Game,331,106
2025,60517,Half Season,329,7
2026,60504,Full Season,329,3
2026,60611-1542,Full Season,328,1
2026,60621,Full Season,328,2
2027,08701,Full Season,328,3
2027,60184,Full Season,328,3
2027,60465,Full Season,328,3
2026,60184,Full Season,328,3
2027,80134,Full Season,328,2
2026,60586,Half Season,328,5
2027,60090-5325,Full Season,328,1
2027,60446,Full Season,328,2
2026,60430-3105,Full Season,328,1
2027,60430-3105,Full Season,328,1
2026,08701,Full Season,328,3
2026,60618-4701,Full Season,328,1
2027,60487-6214,Full Season,328,1
2027,60629,Full Season,328,3
2027,33418,Full Season,328,2
2026,80134,Full Season,328,2
2027,46614,Full Season,328,2
2027,60126-4041,Full Season,328,1
2027,60621,Full Season,328,2
2027,60106-3122,Full Season,328,1
2027,60187,Full Season,328,4
2026,60090-5325,Full Season,328,1
2026,60126-4041,Full Season,328,1
2027,60449,Full Season,328,3
2027,60707,Full Season,328,4
2026,60103,Full Season,328,4
2026,34210,Full Season,328,2
2026,33418,Full Season,328,2
2027,60463,Full Season,328,3
2027,60480,Full Season,328,3
2027,60081,Full Season,328,3
2027,60016,Full Season,328,3
2027,60504,Full Season,328,3
2027,80260,Full Season,328,2
2027,34210,Full Season,328,2
2027,60203,Full Season,328,2
2026,30319,Full Season,328,2
2026,80260,Full Season,328,2
2027,60611-1542,Full Season,328,1
2027,60188,Full Season,328,5
2026,60480,Full Season,328,3
2026,60446,Full Season,328,2
2027,60048-3358,Full Season,328,1
2026,60560,Full Season,328,3
2026,60622,Distribution Partner,327,126
2025,60585,Half Season,327,7
2026,60515,Half Season,326,5
2025,60491,Half Season,326,6
2026,60521,Half Season,326,6
2026,60606,Group,326,23
2025,60081,Full Season,326,3
2025,60480,Full Season,326,3
2026,60462,Group,326,38
2026,60610,Distribution Partner,324,122
2025,60611,Distribution Partner,324,98
2025,60130,Full Season,324,3
2025,60510,Full Season,323,3
2026,60014,Single Game,323,98
2025,60177,Full Season,323,3
2025,60657,Single Game,323,127
2025,60487,Full Season,323,4
2025,30319,Full Season,322,2
2025,60430-3105,Full Season,322,1
2025,60431,Full Season,321,4
